name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
CC/099,"Gatehaus 2, City Centre",,,2018-11-01,,0.14,20,20,Land identified by city centre AAP (ref CH/1.11) for at least 20 units,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HN5N68DHT3000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0002053FUL&activeTab=summary|https://planning.bradford.gov,not permissioned,,POINT(-1.744817 53.793457),CC/099,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416887.4266,433021.71,416927.3686,433076.8036,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CC-099
CC/100,"Stone Street Car Park, City Centre",,,2018-11-01,,0.1,100,100,The site is identified in the city centre AAP (ref M/1.3) for 100 units,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9400172REG&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7808115COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,POINT(-1.754364 53.79735),CC/100,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416246.75,433449.75,416303.9377,433507.6739,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CC-100
CC/102,"38-42 Peckover Street, Little Germany",yes,,2018-11-01,,0.02,0,0,Building with converison permission to 6 apartments,local-authority-eng:BRD,,2017-08-03,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8905925LBC&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I7A2YCDHV6000&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,POINT(-1.745307 53.794575),CC/102,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416863.2,433159.0,416886.536,433182.4509,27700",2018-11-01,/brownfield-land/local-authority-eng/BRD/CC-102
CC/104,"Adelaide Street/Duncan Street, Little Horton",yes,,2018-11-01,,0.05,0,0,Site with full permission for mixed use to include 14 apartments granted on appeal,local-authority-eng:BRD,not owned by a public authority,2015-05-01,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7903901FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9300842FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,full planning permission,POINT(-1.752397 53.787791),CC/104,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416397.3,432398.4,416424.8,432429.95,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CC-104
CR/014,"Bolton Woods Quarry, Bolton Woods",yes,,2018-11-01,,29.79,0,0,Site identified in the Shipley and Canal Road corridor AAP (ref NBWQ1) as suitable for residential development of 1000 homes. An outline application is pending for700 units. Site with permission pending in outline,local-authority-eng:BRD,mixed ownership,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JDEEPSDHQ1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7603851FUL&activeTab=summary|https://planning.bradford.gov,pending decision,,POINT(-1.75344 53.82077),CR/014,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415981.4905,435701.9762,416684.0796,436478.9962,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-014
CR/020,"Dockfield Road northside, Shipley",,,2018-11-01,,0.54,45,45,Site has expired permission and is now identified in the Shipley and Canal Road corridor AAP (ref DF4) with neigbouring DF5 as a site suittble for at least 90 units. The owners current intentions are not known.,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8903717FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IIDOCBDHU8000&activeTab=summary|https://planning.bradford.gov,not permissioned,,POINT(-1.771363 53.837292),CR/020,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415098.6,437876.1,415201.9,437956.6,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-020
CR/024A,Land at Crag Rd,,,2018-11-01,,5.02,0,0,Site identified in canal road AAP as site SE1 and suitable for residential led mixed use,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7602007FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MIXMVGDHLT000&activeTab=summary|https://planning.bradford.gov,not permissioned,,POINT(-1.771837 53.832601),CR/024A,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414942.2529,437200.5714,415351.65,437596.1886,27700",2018-11-01,/brownfield-land/local-authority-eng/BRD/CR-024A
CR/025,"Dockfield Road, Shipley",,,2018-11-01,,0.69,61,32,Building in manufacturing use with expired planning permission. The site is suitable for residential use but also for retention for employment use. The Shipley and canal road AAP (ref DF6) identifed this building for residential redevelopment based on it,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7607559FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8403084COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,POINT(-1.769653 53.836571),CR/025,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415204.18,437783.55,415309.8,437887.8,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-025
CR/030,"Atkinson Street, Shipley",yes,,2018-11-01,,0.02,0,0,The site appears in the Shipley and Canal Road corridor AAP (ref STC5). Vacant building with planning permission for conversion to 6 apartments.,local-authority-eng:BRD,not owned by a public authority,2017-02-24,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JXZDNODHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=PE5Y9LDH0LY00&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,POINT(-1.777207 53.834521),CR/030,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414751.44,437603.4913,414770.9262,437615.0953,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-030
CR/031,"Briggate, Shipley",,,2018-11-01,,0.13,20,20,Cleared site. The owners present intentions are unknown. The site is identified in the Shipley and canal road AAP with a target yield of 20 units,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=K3QJ1SDH0A600&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MCV76KDH06V00&activeTab=summary|https://planning.bradford.,not permissioned,,POINT(-1.774451 53.835109),CR/031,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414911.8869,437658.3359,414995.7599,437693.3764,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-031
CR/033,North Avenue. Manningham,,,2018-11-01,,0.8,30,30,The landowner states the site will be available for residential but is currently in use. The site is identified in the canal road AAP as ref NBW6 with a target yield of 30 units,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9000320OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8206534FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,POINT(-1.760832 53.8092),CR/033,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415792.3,434717.38,415900.0,434866.0,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-033
CR/034,"Frizinghall Road, Frizinghall",yes,,2018-11-01,,0.76,0,0,Residential development of 42 dwellings comprising of 24 houses and 18 flats,local-authority-eng:BRD,not owned by a public authority,2017-10-03,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KPNC4BDH02100&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JU0WG9DHFH000&activeTab=summary|https://planning.bradford.,permissioned,outline planning permission,POINT(-1.769372 53.819716),CR/034,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415224.0004,435918.4,415342.75,436027.35,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-034
CR/036,"Victor Mills, Bolton hall Road, Bolton Woods",,,2018-11-01,,0.83,35,35,Site with expired planning permission. The site is identified in the Shipley and canal road corridor AAP as a site for residential use and a target yield of 35 units (ref NBW4),local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0203738FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7502559FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,POINT(-1.759625 53.821727),CR/036,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415864.8,436124.2,415983.9749,436251.5498,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-036
CR/038,"Valley Road, Shipley",yes,,2018-11-01,,0.76,0,0,The site is identified in the AAP under ref NBW5 for 30 units min. Site with permission for 38 family homes,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LVKQOODH0B200&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=ORA19CDHKB700&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,POINT(-1.77189 53.825223),CR/038,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415054.4719,436506.7508,415172.15,436645.15,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-038
CR/039,"Buildings in Market Square, Shipley",,,2018-11-01,,1.15,25,25,Capacity exists to accommodate residential units in vacant floorspace above shops. The area is identified in the Shipley and canal road corridor AAP as suitable for around 25 units.,local-authority-eng:BRD,mixed ownership,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=ICZHIVDH12000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IJIS5SDHU8000&activeTab=summary|https://planning.bradford.,not permissioned,,POINT(-1.777378 53.833339),CR/039,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414685.25,437404.55,414824.05,437544.5541,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-039
CR/040,"Market Street and Otley Road, Shipley",,,2018-11-01,,0.49,50,50,Site identified in the Shipley and Canal road corridor AAP as a site for redevelopment which could include residential development at a target of 50 units (ref STC4). Owner intentions not currently known,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=II2GGGDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9700928COU&activeTab=summary|https://planning.bradford.gov,not permissioned,,POINT(-1.77635 53.83242),CR/040,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414793.3,437308.2,414843.7973,437439.4,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-040
CR/041,"Dock Lane, Shipley",yes,,2018-11-01,,0.15,15,15,The site is identified in the canal road AAP for15 units ref DF8,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IQNXBKDH12000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HPL5QNDH12000&activeTab=summary|https://planning.bradford.,not permissioned,,POINT(-1.76739 53.837857),CR/041,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415375.7836,437957.9,415431.646,438004.0424,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-041
CR/046,"1-7 Leeds Road/Dock Lane, Shipley",yes,,2018-11-01,,0.14,0,0,Change of use from Office (B1a) to residential use (C3): 31 dwellings,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8903473LBC&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9203011FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,other,POINT(-1.769306 53.83437),CR/046,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415256.15,437571.6,415298.9,437622.5573,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-046
CR/047,Land between Leeds Road and Dock Lane,yes,,2018-11-01,,0.71,60,60,Site identified in the Shipley and canal road AAP (ref DF3) as suitable for residential led mixed use. The number of units targeted as 60. An outline application for 60 units was withdrawn in October 2016. There is an expectation that a new application,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9203011FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9700861FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,POINT(-1.769801 53.834703),CR/047,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415174.55,437571.6,415322.5862,437699.6904,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-047
CR/048,"Station Road, Shipley",yes,,2018-11-01,,0.3,50,50,Land identifed by the canal road AAP as a residential site for around 50 units. An application for residential development was withdrawn in 2015 but the expectation is that a resubmission will be made,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7907520REN&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8706551COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,POINT(-1.774542 53.832964),CR/048,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414897.6,437403.615,414963.45,437480.4,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-048
CR/049,"Otley Road, Shipley",yes,,2018-11-01,,0.11,27,11,Large period house formerly a nursing home. The building offers good potential for conversion to apartments but an application for 24 was refused on design,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HIQR2ODHQ1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7701725FUL&activeTab=summary|https://planning.bradford.gov,not permissioned,,POINT(-1.77748 53.829221),CR/049,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414712.8063,436998.4502,414774.581,437040.205,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CR-049
CR/051,Livingstone Cres,yes,,2018-11-01,,0.04,0,0,Pub with planning permission for extension and conversion to 5 apartments.,local-authority-eng:BRD,not owned by a public authority,2018-04-10,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NF8CH7DH02F00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NVFFG9DHLT000&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,POINT(-1.761458 53.819538),CR/051,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415787.7197,435933.605,415818.1,435955.3458,27700",2018-11-01,/brownfield-land/local-authority-eng/BRD/CR-051
CU/001,"Halifax Road, Cullingworth",yes,,2018-11-01,,1.86,0,0,Cleared site with outline permission for a residential development of up to 53 dwellings including associated open space and infrastructure,local-authority-eng:BRD,not owned by a public authority,2017-03-29,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IKA0I0DHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0201978OUT&activeTab=summary|https://planning.bradford.gov,permissioned,outline planning permission,POINT(-1.902603 53.824652),CU/001,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406422.8,436375.4,406614.8299,436612.9,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CU-001
CU/004,"Cullingworth Mill, Cullingworth",yes,,2018-11-01,,1.17,52,43,Imposing mill buildings which could be converted together with new build to the rear. The landowners are working toward bringing the site forward,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IHTAZFDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IPN6RXDHU8000&activeTab=summary|https://planning.bradford.,not permissioned,,POINT(-1.897741 53.826384),CU/004,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406767.1,436586.67,406900.34,436762.1,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/CU-004
DH/016,"Station Road, Denholme",yes,,2018-11-01,,4.38,0,0,Cleared site with outline permission for the construction of up to 80 dwellings,local-authority-eng:BRD,not owned by a public authority,2016-04-28,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7701653FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7602653FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,outline planning permission,POINT(-1.888437 53.800387),DH/016,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=407355.75,433541.3,407546.75,434057.2,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/DH-016
HA/005,"Ebor Mills, Ebor Lane, Haworth",yes,,2018-11-01,,1.18,53,43,Mill buildings in partial use. There has been recent interest in bringing this site forward for residential conversion.,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IZCYXCDHSA000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8806531LBC&activeTab=summary|https://planning.bradford.gov,not permissioned,,POINT(-1.945573 53.834892),HA/005,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403623.6,437566.5,403756.7,437715.3,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/HA-005
HA/010,"Ivy Bank Lane, Haworth",yes,,2018-11-01,,1.16,52,43,Cleared land with expired permission for residential development. There has been recent interest and a new application is expected shortly,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7807578FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8606352EXT&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,POINT(-1.949719 53.827284),HA/010,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403360.0,436685.9,403454.2,436909.6,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/HA-010
HA/017,"Chapel Works, Station Road, Haworth",yes,,2018-11-01,,0.07,18,7,Building with historic conversion permission where details were approved in July 2015 but the permission itself has now expired. No records that development has begun,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LNLCT6DHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P1B2PLDHIMH00&activeTab=summary|https://planning.bradford.,not permissioned,,POINT(-1.946178 53.832733),HA/017,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403619.0,437366.7268,403659.4,437405.6,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/HA-017
HA/033,"Warehouse, Clevedon Street, Haworth",yes,,2018-11-01,,0.11,0,0,Conversion of the Drill Hall to form 4 x 2-bedroom dwellings and the construction of 3 x 3-bedroom dwellings with associated parking and means of access,local-authority-eng:BRD,not owned by a public authority,2015-10-21,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7402902OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9902447COU&activeTab=summary|https://planning.bradford.gov.uk,permissioned,full planning permission,POINT(-1.951874 53.828017),HA/033,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403247.4,436831.9,403282.2,436895.6,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/HA-033
KY/011,"Braithwaite Road, Keighley",yes,,2018-11-01,,1.06,0,0,Site with detailed permission for 36 houses and apartments,local-authority-eng:BRD,owned by a public authority,2017-02-07,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P7QNE3DH0CY00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0101045REG&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,POINT(-1.936557 53.870367),KY/011,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=404196.15,441527.9,404341.55,441628.2,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/KY-011
KY/012,"Whinfield Drive, Keighley",,,2018-11-01,,1.24,56,46,Cleared site but subject to permission could be developed at any time,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P7QNE3DH0CY00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0101045REG&activeTab=summary|https://planning.bradford.gov,not permissioned,,POINT(-1.934079 53.870744),KY/012,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=404315.9,441565.65,404541.65,441670.0,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/KY-012
KY/027,"West Lane, Keighley",yes,,2018-11-01,,0.93,42,34,Cleared site with expired permission. The site will require new permission but is available for immediate development,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I57NU5DHJ6000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9900805COU&activeTab=summary|https://planning.bradford.gov,not permissioned,,POINT(-1.915694 53.866622),KY/027,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405581.0,441109.6873,405706.9375,441204.6561,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/KY-027
KY/031,Mitchell Street/Chatsworth Street/Beeches Road,,,2018-11-01,,3.11,231,119,Landowner was progressing proposals but bo application yet submitted,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I0IW9WDHV2000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LCP141DH07C00&activeTab=summary|https://planning.bradford.,not permissioned,,POINT(-1.897571 53.86997),KY/031,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406719.2876,441395.7,406955.27,441668.0,27700",2018-11-01,/brownfield-land/local-authority-eng/BRD/KY-031
KY/032,"Bradford Road, Keighley",,,2018-11-01,,1,89,46,Vacant Office block and car Park which has been vacant for a number of years. The site would be suitable for a number of uses including residential development subject to design. There has been recent interest in the site,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7703379FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LCP141DH07C00&activeTab=summary|https://planning.bradford.gov,not permissioned,,POINT(-1.899956 53.868938),KY/032,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406609.35,441355.2,406733.6,441487.75,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/KY-032
KY/047,Carr Bank Riddlesden,yes,,2018-11-01,,0.52,19,14,The owner intends bringing the site forward for new development in the near future,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202119VOC&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9800409OUT&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,POINT(-1.863755 53.875176),KY/047,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=408982.5,442077.4,409107.31,442184.23,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/KY-047
KY/049,Bradford Road Riddlesden,yes,,2018-11-01,,0.41,15,11,Former Church and grounds with expired permission for a care home. The site is available and could come forward for residential development subject to planning application. The site is for sale,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LUCLVTDHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LJBV8VDH0B200&activeTab=summary|https://planning.bradford.,not permissioned,,POINT(-1.856063 53.866598),KY/049,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=409520.9,441114.0498,409607.0,441208.5998,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/KY-049
KY/064,"The Walk, Keighley",yes,,2018-11-01,,1.69,76,62,"Under used buildings and land, mainly used for employment purposes including haulage and storage. An outline application is currently pending consideration",local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MCHX0LDH04C00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8011400FUL&activeTab=summary|https://planning.bradford.gov,pending decision,,POINT(-1.906239 53.862417),KY/064,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406186.1,440500.0,406374.65,440865.4,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/KY-064
KY/083,"Beck Street/Bridge Street, Keighley",,,2018-11-01,,0.57,51,26,Site with expired retail led permission which included some residential. The owners current intentions are not known but the site could come forward in the short term,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7702766FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8603197DUMMY&activeTab=summary|https://planning.bradford.gov.,not permissioned,,POINT(-1.91033 53.864491),KY/083,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405938.0309,440883.4998,406043.8438,440964.0936,27700",2017-11-01,/brownfield-land/local-authority-eng/BRD/KY-083
