site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Prospect Place,yes,,2017-12-14,,0.5,25,20,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,,,not permissioned,,649,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455657.69959999993&xmax=455767.4001000002&ymin=339247.30069999956&ymax=339335.79539999925",2017-12-14
"Factory Willoughby Street, Prospect Place",,,2017-12-14,,0.2,6,6,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,650,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455706.09810000006&xmax=455780.7489&ymin=339217.2491999995&ymax=339264.74569999985",2017-12-14
Denewood Crescent - Denewood Centre,yes,,2017-12-14,,3.04,120,120,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,2018-07-19,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OX2WPVLYH1C00,permissioned,outline planning permission,653,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=452396.29000000004&xmax=452594.3883999996&ymin=341652.6500000004&ymax=341889.63159999996",2017-12-14
"Charles II Public House, Bestwood Park Drive West",yes,,2017-12-14,,0.18,0,0,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-04-20,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPGM50LYCB000,Not Permissioned,,658,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455527.8727000002&xmax=455573.09700000007&ymin=346191.45299999975&ymax=346246.61730000004",2017-12-14
"Waterside - Trent Lane, Park Yacht Club",yes,,2019-08-12,,2.3000000000000003,170,150,DevelopmentDescription: Multiple applications. 3 sites total 193 the LP states 160. 15/01202/PFUL3 Erect 3 blocks (81 apartments) at Park Yacht Club. Though may be constructed. 17/01930/PFUL3 permission for 73 dwellings East of Trent Lane. App 19/02505/PFUL3 for 39 at Maythor; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-10-10,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVG2OMLYK6O00,permissioned,full planning permission,668,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=459044.0038999999&xmax=459231.6531999996&ymin=338755.6015000008&ymax=338914.1961000003",2017-12-14
1 Brook Street,yes,,2017-12-14,,0.31,101,101,"DevelopmentDescription: Change of use of existing building from office to residential, providing 101 apartments and including new cafe and creche use. Extension to the Second, Third and Fourth storeys within existing building footprint. Re-cladding of exterior facade and creati; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2017-02-02,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O35FWDLYCB000,permissioned,full planning permission,669,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457724.05200000014&xmax=457792.74990000017&ymin=340167.5471999999&ymax=340244.3951999992",2017-12-14
"Coopers Club, 360 Highbury Vale",,31/03/2019,2019-08-12,,0.1,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-08-02,,permissioned,full planning permission,676,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454171.03259999957&xmax=454236.6880000001&ymin=344977.77040000074&ymax=345019.79839999974",2017-12-14
"Daleside Road - Former Colwick Service Station,",,31/03/2019,2019-08-12,,0.54,0,0,DevelopmentDescription: 16 new dwellings and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,,,696,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=460620.28639999963&xmax=460831.92059999984&ymin=340009.1826000009&ymax=340157.4603000004",2017-12-14
Sturgeon Avenue - The Spinney,,,2017-12-14,,0.85,35,35,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,702,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455568.70999999996&xmax=455703.6168999998&ymin=335742.6754999999&ymax=335861.75",2017-12-14
"Furniture Store, Sherwin Road, off Lenton Boulevard",yes,,2017-12-14,,0.26,40,40,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,,,Not Permissioned,,23,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455544.8989000004&xmax=455659.8514999999&ymin=339056.7952999994&ymax=339136.15249999985",2017-12-14
"Porchester Car Sales, Porchester Road, near Carlton Road",,,2017-12-14,,0.14,6,6,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,35,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=459139.5970999999&xmax=459169.6255999999&ymin=341076.2773000002&ymax=341159.6032999996",2017-12-14
"N L Pearson and Sons, Latham Street",yes,,2019-08-12,,0.03,5,5,DevelopmentDescription: Change of use to five flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-06-09,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OJNXO0LYJLZ00,permissioned,full planning permission,67,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453734.9760999996&xmax=453760.1564999996&ymin=345436.4491000008&ymax=345464.7009999994",2017-12-14
Vernon Road - Former Johnsons Dyeworks,,,2017-12-14,,4.41,115,60,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,mixed ownership,,,not permissioned,,99,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455221.0493999999&xmax=455600.89919999987&ymin=342995.24789999984&ymax=343278.49679999985",2017-12-14
"Small businesses (Former Peacemills), Perry Road",,31/03/2019,2019-08-12,,0.53,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,,,124,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456788.55090000015&xmax=456944.80310000014&ymin=343207.9969999995&ymax=343276.99730000086",2017-12-14
"Disused garage, Ilkeston Road, Opposite Cobden Street",,,2017-12-14,,0.23,30,30,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,,,Not permissioned,,138,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455290.80260000005&xmax=455358.8985000001&ymin=340122.66029999964&ymax=340168.1470999997",2017-12-14
Ilkeston Road - Radford Mill,,31/03/2019,2019-08-12,,0.62,0,0,DevelopmentDescription: Demolition and part demolition of existing buildings. Conversion to residential and new build residential units.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-06-29,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEMN72LY01B00,permissioned,full planning permission,140,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455721.0538999997&xmax=455797.79959999956&ymin=340156.00060000084&ymax=340262.82799999975",2017-12-14
Alfreton Road - Forest Mill,yes,,2019-08-12,,1.2,310,310,DevelopmentDescription: Hybrid planning application. Full application erection of 8 storey building comprising 81 residential units and 7 commercial premises. Outline application for up to 229 residential units.; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-01-24,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OG0DHXLY01B00,permissioned,outline planning permission,141,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455935.9424999999&xmax=456094.34970000014&ymin=340311.5460999999&ymax=340451.8958999999",2017-12-14
"United Carpets, Hartley Road",,,2017-12-14,,0.14,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,143,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455465.20210000034&xmax=455508.5959000001&ymin=340666.60449999943&ymax=340715.67039999925",2017-12-14
"Bobbers Mill Bridge - Bobbers Mill Industrial Estate,",,,2017-12-14,,4.38,120,80,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,148,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454973.8130000001&xmax=455205.7960000001&ymin=341226.5541999992&ymax=341596.49829999916",2017-12-14
Bobbers Mill Bridge - Land Adjacent to Bobbers Mill Industrial Estate,,,2017-12-14,,0.55,21,17,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,150,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454924.33999999985&xmax=455034.5999999996&ymin=341446.69999999925&ymax=341595.3499999996",2017-12-14
"P J Towey Construction, 197 Gladstone Street, NG7 6HX",yes,,2017-12-14,,0.05,5,5,DevelopmentDescription: Demolition of existing storage units and workshops and erection of a terrace of 5 No. 3-storey dwellings (Class C3). (Re-submission of 19/01999/PFUL3); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2020-03-25,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q3DCD9LY0KU00,Not Permissioned,outline planning permission,160,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456167.4009999996&xmax=456194.94770000037&ymin=341882.74620000087&ymax=341901.75090000033",2017-12-14
"Disused Petrol Filling Station, Nottingham Road/ Rosetta Road",,,2017-12-14,,0.09,7,7,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,168,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455920.0493000001&xmax=455967.69739999995&ymin=342541.99760000035&ymax=342582.1961000003",2017-12-14
"Ellis and Everard site, Haydn Road",yes,,2019-08-12,,1.01,29,29,DevelopmentDescription: Erection of 29 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-02-27,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OPMO98LYJJV00,permissioned,full planning permission,169,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456117.4029000001&xmax=456279.2039999999&ymin=342437.29759999923&ymax=342583.4458000008",2017-12-14
Highbury Road - Former Henry Mellish School Site,yes,,2017-12-14,,0.99,34,38,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,,,not permissioned,,226,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454521.2000000002&xmax=454661.10950000025&ymin=344242.30000000075&ymax=344384.1899999995",2017-12-14
Arnside Road - Former Chronos Richardson,yes,,2017-12-14,,2.58,87,63,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,mixed ownership,,,not permissioned,,253,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456187.5488999998&xmax=456427.95320000034&ymin=344078.4000000004&ymax=344260.3499999996",2017-12-14
"Lortas Road, Perry Road",yes,,2019-08-12,,1.3900000000000001,20,20,DevelopmentDescription: 34-36 dwellings and associated infrastructure (revised scheme).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-03-17,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NA6M6ILYCB000,permissioned,full planning permission,379,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455869.5482999999&xmax=456054.7982000001&ymin=342883.7497000005&ymax=343054.40100000054",2017-12-14
Haydn Road/Hucknall Road - Severn Trent Water Depot,,,2017-12-14,,1.53,80,60,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,380,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456547.54000000004&xmax=456679.7999999998&ymin=342784.9000000004&ymax=342941.44999999925",2017-12-14
Radford Road - Former Basford Gasworks,,,2017-12-14,,3.81,62,62,DevelopmentDescription: Variation of dwelling types and layout variation of 12/02756/PFUL3; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2014-08-11,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N4FMI4LY00L00,Not Permissioned,,1910,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455364.5762&xmax=455584.4282999998&ymin=342288.3499999996&ymax=342671.3911000006",2017-12-14
"St Peters Vicarage And Church Hall, 177 Hartley Road",,,2017-12-14,,0.25,0,0,DevelopmentDescription: 7 dwellings Variation of condition S1 of planning permission reference 12/03389/PFUL3; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2014-02-17,,Not Permissioned,,1917,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455176&xmax=455251.8499999996&ymin=340541.8080000002&ymax=340595.1500000004",2017-12-14
Site Of Adam House And Burton House Player Street Nottingham,yes,,2017-12-14,,0.8,197,197,DevelopmentDescription: Erection of 6 storey student accommodation building comprising 197 studio flats with communal facilities; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2020-03-16,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PZ3FE9LYHUD00,permissioned,,1940,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455390.2999999998&xmax=455590.8481999999&ymin=340774.5999999996&ymax=340875.1500000004",2017-12-14
"Arkwright Walk(regeneration site), Arkwright Walk, Meadows",yes,,2019-08-14,,1.2,25,25,"DevelopmentDescription: Erection of 110 new dwellings, comprising of 76 houses and 34 apartments and associated parking inc 23 at blackstone. All due to be complete by 31/3/21; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,owned by a public authority,2017-01-31,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCRFFULYG2300,permissioned,full planning permission,1945,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457472.4000000004&xmax=457873.7999999998&ymin=338480.44999999925&ymax=338914.8900000006",2017-12-14
Creative Quarter - Brook Street East,yes,,2019-08-14,,0.65,41,41,"DevelopmentDescription: Outline planning application for the development of houses, apartments and duplexes with shared facilities and external courtyards, including details of access, layout and scale.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,owned by a public authority,2018-11-30,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONVUPSLYMXI00,permissioned,outline planning permission,1961,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457865.75&xmax=458002.01669999957&ymin=340042.69999999925&ymax=340156.3847000003",2017-12-14
"1, 1A And 3 And 3A Canning Chambers, Canning Circus",,,2017-12-14,,0.02,12,12,DevelopmentDescription: Multiple applications POSSIBLY. Conversion of existing and four storey extension to side to form 10 apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,1998,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456447.5999999996&xmax=456471.4000000004&ymin=340171.69999999925&ymax=340187.5",2017-12-14
1 Castle Quay,,,2017-12-14,,0.02,,,DevelopmentDescription: Conversion of offices to 6 dwellings.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2013-12-20,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MVSBDHLY00L00,Not Permissioned,,2012,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456629.0499999998&xmax=456645.4000000004&ymin=339230.3499999996&ymax=339244.1500000004",2017-12-14
198 Sneinton Dale,,,2017-12-14,,0.11,,,DevelopmentDescription: Seven retail units with seven dwellings above.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2013-07-10,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MKGRKWLYCB000,Not Permissioned,,2014,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=459076.21499999985&xmax=459121.4000000004&ymin=339987.00799999945&ymax=340040.43099999987",2017-12-14
11 Market Street,,,2019-08-14,,0.01,,,DevelopmentDescription: Multiple applications POSSIBLY total 13. Conversion of offices to C3 residential. (9 apartments); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2015-10-19,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUAR1DLY00L00,Not Permissioned,,2017,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457092.7999999998&xmax=457105.9919999996&ymin=339978.6439999994&ymax=339985.44999999925",2017-12-14
"Mayfair Court, North Gate",,,2017-12-14,,0.26,,,DevelopmentDescription: Conversion of offices to C3 residential dwellings (10 apartments).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2013-09-23,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MR27P6LY01B00,Not Permissioned,,2018,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455698&xmax=455767.6500000004&ymin=342134.13299999945&ymax=342195.05000000075",2017-12-14
"Maville House, Maville Works, Beech Avenue",yes,,2017-12-14,,0.2,40,40,DevelopmentDescription: Conversion of offices to C3 residential dwellings (40 apartments).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2013-09-23,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MQWOQALY00M00,Not Permissioned,,2022,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456086.25&xmax=456141.5719999997&ymin=341918.5189999994&ymax=341963.80000000075",2017-12-14
"Meadows Police Station (Regeneration Site), Meadows Way",yes,,2019-08-14,,0.18,21,21,"DevelopmentDescription: Demolition of existing police station building and construction of a 3 and 4 storey block of 21, two bedroom apartments with associated car parking and amenity spaces and the extension of Rutland Close to form a new vehicular junction with Meadows Way.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,owned by a public authority,2019-01-08,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OYVSTKLYM0U00,permissioned,full planning permission,2028,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456561.87009999994&xmax=456599.8167000003&ymin=338593.1667999998&ymax=338663.28419999965",2017-12-14
"Morley School (aka Wells Rd Junior School and Eco Works site), St Anns (regeneration site), Wells Road",,31/03/2019,2019-08-14,,0.88,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,2015-12-01,,permissioned,full planning permission,2032,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458710.23450000025&xmax=458832.0928999996&ymin=341569.33589999937&ymax=341697.99840000086",2017-12-14
"Stepney Court (Regeneration scheme), Strelley Road",,31/03/2019,2019-08-14,,0.42,,,"DevelopmentDescription: Three Storey Building comprising Joint Service Centre to ground floor and 30 self-contained sheltered housing units to first and second floors. (Variation to condition S1 (Plans), condition 10 (Parking Layout) and condition 19 (materials) 15/02782/PFUL3; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,owned by a public authority,2017-03-21,,permissioned,,2033,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=452628.20239999983&xmax=452733.1151999999&ymin=342127.8937999997&ymax=342204.04099999927",2017-12-14
Conway Close (Regeneration Site),,31/03/2019,2019-08-14,,0.28,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,2016-08-03,,permissioned,full planning permission,2034,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457323.0844999999&xmax=457398.66280000005&ymin=340996.89660000056&ymax=341053.1536999997",2017-12-14
"Church Square (Regeneration Site), off Maxwell Close",,31/03/2019,2019-08-14,,0.19,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,2017-03-23,,permissioned,full planning permission,2036,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455739.9576000003&xmax=455799.5493000001&ymin=339358.5758999996&ymax=339411.8975000009",2017-12-14
"1 King Edward Court, King Edward Street",,,2017-12-14,,0.17,,,DevelopmentDescription: Conversion of offices to C3 residential dwellings. (22 apartments).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2014-04-11,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N1AFJVLY00L00,Not Permissioned,,2039,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457527.9500000002&xmax=457597.8627000004&ymin=340138.94999999925&ymax=340197.38040000014",2017-12-14
"Rear of Sherwood Inn, 548 Mansfield Road",,31/03/2019,2019-08-14,,0.09,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2014-12-10,,,,2132,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457416.26400000043&xmax=457460.75&ymin=342892.19999999925&ymax=342928.69999999925",2017-12-14
174 Derby Road,yes,,2019-08-14,,0.05,8,8,DevelopmentDescription: Alterations to ground and first floor offices to create 8 self contained apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-01-02,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OY9XBDLYK9W00,permissioned,full planning permission,2133,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456211.0700000003&xmax=456243.0599999996&ymin=340085.1500000004&ymax=340113.3200000003",2017-12-14
"The White House, Beech Avenue",,,2017-12-14,,0.3,,,DevelopmentDescription: Conversion to 48 apartments and alterations.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2015-09-24,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N2XKXVLYCB000,Not Permissioned,,2148,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456137.4000000004&xmax=456205.75&ymin=341901.4509999994&ymax=341963.80000000075",2017-12-14
14 Hounds Gate NG1 7BA,,31/03/2019,2019-08-14,,0.1,,,DevelopmentDescription: Conversion of offices to C3 residential. (43 apartments); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2015-04-02,,permissioned,,2149,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457165.5999999996&xmax=457212.0499999998&ymin=339719.3499999996&ymax=339759.75",2017-12-14
"The Irwin Business Centre, Church Street, Old Basford",yes,,2019-08-14,,0.11,,,DevelopmentDescription: Conversion to 15 self-contained flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-01-29,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKBI97LYCB000,Not Permissioned,,2154,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455342.2000000002&xmax=455386.4000000004&ymin=342831.5&ymax=342905.94999999925",2017-12-14
2 And 3 Newcastle Chambers NG1 6HL,yes,,2019-08-14,,0.03,,,DevelopmentDescription: Conversion to 8 one bed flats. 15/01654/PFUL3; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2015-05-11,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKBRJJLY00M00,Not Permissioned,,2155,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457027.25&xmax=457049.2999999998&ymin=339868.05000000075&ymax=339890.75",2017-12-14
