site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Land at Crag Rd,,,2018-11-01,,5.02,0,0,Site identified in canal road AAP as site SE1 and suitable for residential led mixed use,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7602007FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MIXMVGDHLT000&activeTab=summary|https://planning.bradford.gov,not permissioned,,CR/024A,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414942.2529,437200.5714,415351.65,437596.1886,27700",2018-11-01
"Dockfield Road, Shipley",,,2018-11-01,,0.69,61,32,Building in manufacturing use with expired planning permission. The site is suitable for residential use but also for retention for employment use. The Shipley and canal road AAP (ref DF6) identifed this building for residential redevelopment based on it,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7607559FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8403084COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,CR/025,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415204.18,437783.55,415309.8,437887.8,27700",2017-11-01
"Atkinson Street, Shipley",yes,,2018-11-01,,0.02,0,0,The site appears in the Shipley and Canal Road corridor AAP (ref STC5). Vacant building with planning permission for conversion to 6 apartments.,local-authority-eng:BRD,not owned by a public authority,2017-02-24,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JXZDNODHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=PE5Y9LDH0LY00&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,CR/030,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414751.44,437603.4913,414770.9262,437615.0953,27700",2017-11-01
"Briggate, Shipley",,,2018-11-01,,0.13,20,20,Cleared site. The owners present intentions are unknown. The site is identified in the Shipley and canal road AAP with a target yield of 20 units,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=K3QJ1SDH0A600&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MCV76KDH06V00&activeTab=summary|https://planning.bradford.,not permissioned,,CR/031,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414911.8869,437658.3359,414995.7599,437693.3764,27700",2017-11-01
North Avenue. Manningham,,,2018-11-01,,0.8,30,30,The landowner states the site will be available for residential but is currently in use. The site is identified in the canal road AAP as ref NBW6 with a target yield of 30 units,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9000320OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8206534FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,CR/033,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415792.3,434717.38,415900.0,434866.0,27700",2017-11-01
"Frizinghall Road, Frizinghall",yes,,2018-11-01,,0.76,0,0,Residential development of 42 dwellings comprising of 24 houses and 18 flats,local-authority-eng:BRD,not owned by a public authority,2017-10-03,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KPNC4BDH02100&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JU0WG9DHFH000&activeTab=summary|https://planning.bradford.,permissioned,outline planning permission,CR/034,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415224.0004,435918.4,415342.75,436027.35,27700",2017-11-01
"Victor Mills, Bolton hall Road, Bolton Woods",,,2018-11-01,,0.83,35,35,Site with expired planning permission. The site is identified in the Shipley and canal road corridor AAP as a site for residential use and a target yield of 35 units (ref NBW4),local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0203738FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7502559FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,CR/036,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415864.8,436124.2,415983.9749,436251.5498,27700",2017-11-01
"Valley Road, Shipley",yes,,2018-11-01,,0.76,0,0,The site is identified in the AAP under ref NBW5 for 30 units min. Site with permission for 38 family homes,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LVKQOODH0B200&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=ORA19CDHKB700&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,CR/038,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415054.4719,436506.7508,415172.15,436645.15,27700",2017-11-01
"Buildings in Market Square, Shipley",,,2018-11-01,,1.15,25,25,Capacity exists to accommodate residential units in vacant floorspace above shops. The area is identified in the Shipley and canal road corridor AAP as suitable for around 25 units.,local-authority-eng:BRD,mixed ownership,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=ICZHIVDH12000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IJIS5SDHU8000&activeTab=summary|https://planning.bradford.,not permissioned,,CR/039,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414685.25,437404.55,414824.05,437544.5541,27700",2017-11-01
"Market Street and Otley Road, Shipley",,,2018-11-01,,0.49,50,50,Site identified in the Shipley and Canal road corridor AAP as a site for redevelopment which could include residential development at a target of 50 units (ref STC4). Owner intentions not currently known,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=II2GGGDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9700928COU&activeTab=summary|https://planning.bradford.gov,not permissioned,,CR/040,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414793.3,437308.2,414843.7973,437439.4,27700",2017-11-01
"Dock Lane, Shipley",yes,,2018-11-01,,0.15,15,15,The site is identified in the canal road AAP for15 units ref DF8,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IQNXBKDH12000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HPL5QNDH12000&activeTab=summary|https://planning.bradford.,not permissioned,,CR/041,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415375.7836,437957.9,415431.646,438004.0424,27700",2017-11-01
"1-7 Leeds Road/Dock Lane, Shipley",yes,,2018-11-01,,0.14,0,0,Change of use from Office (B1a) to residential use (C3): 31 dwellings,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8903473LBC&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9203011FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,other,CR/046,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415256.15,437571.6,415298.9,437622.5573,27700",2017-11-01
Land between Leeds Road and Dock Lane,yes,,2018-11-01,,0.71,60,60,Site identified in the Shipley and canal road AAP (ref DF3) as suitable for residential led mixed use. The number of units targeted as 60. An outline application for 60 units was withdrawn in October 2016. There is an expectation that a new application,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9203011FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9700861FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,CR/047,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415174.55,437571.6,415322.5862,437699.6904,27700",2017-11-01
"Station Road, Shipley",yes,,2018-11-01,,0.3,50,50,Land identifed by the canal road AAP as a residential site for around 50 units. An application for residential development was withdrawn in 2015 but the expectation is that a resubmission will be made,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7907520REN&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8706551COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,CR/048,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414897.6,437403.615,414963.45,437480.4,27700",2017-11-01
"Otley Road, Shipley",yes,,2018-11-01,,0.11,27,11,Large period house formerly a nursing home. The building offers good potential for conversion to apartments but an application for 24 was refused on design,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HIQR2ODHQ1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7701725FUL&activeTab=summary|https://planning.bradford.gov,not permissioned,,CR/049,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414712.8063,436998.4502,414774.581,437040.205,27700",2017-11-01
Livingstone Cres,yes,,2018-11-01,,0.04,0,0,Pub with planning permission for extension and conversion to 5 apartments.,local-authority-eng:BRD,not owned by a public authority,2018-04-10,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NF8CH7DH02F00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NVFFG9DHLT000&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,CR/051,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415787.7197,435933.605,415818.1,435955.3458,27700",2018-11-01
"Halifax Road, Cullingworth",yes,,2018-11-01,,1.86,0,0,Cleared site with outline permission for a residential development of up to 53 dwellings including associated open space and infrastructure,local-authority-eng:BRD,not owned by a public authority,2017-03-29,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IKA0I0DHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0201978OUT&activeTab=summary|https://planning.bradford.gov,permissioned,outline planning permission,CU/001,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406422.8,436375.4,406614.8299,436612.9,27700",2017-11-01
"Cullingworth Mill, Cullingworth",yes,,2018-11-01,,1.17,52,43,Imposing mill buildings which could be converted together with new build to the rear. The landowners are working toward bringing the site forward,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IHTAZFDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IPN6RXDHU8000&activeTab=summary|https://planning.bradford.,not permissioned,,CU/004,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406767.1,436586.67,406900.34,436762.1,27700",2017-11-01
"Station Road, Denholme",yes,,2018-11-01,,4.38,0,0,Cleared site with outline permission for the construction of up to 80 dwellings,local-authority-eng:BRD,not owned by a public authority,2016-04-28,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7701653FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7602653FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,outline planning permission,DH/016,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=407355.75,433541.3,407546.75,434057.2,27700",2017-11-01
"Ebor Mills, Ebor Lane, Haworth",yes,,2018-11-01,,1.18,53,43,Mill buildings in partial use. There has been recent interest in bringing this site forward for residential conversion.,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IZCYXCDHSA000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8806531LBC&activeTab=summary|https://planning.bradford.gov,not permissioned,,HA/005,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403623.6,437566.5,403756.7,437715.3,27700",2017-11-01
"Ivy Bank Lane, Haworth",yes,,2018-11-01,,1.16,52,43,Cleared land with expired permission for residential development. There has been recent interest and a new application is expected shortly,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7807578FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8606352EXT&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,HA/010,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403360.0,436685.9,403454.2,436909.6,27700",2017-11-01
"Chapel Works, Station Road, Haworth",yes,,2018-11-01,,0.07,18,7,Building with historic conversion permission where details were approved in July 2015 but the permission itself has now expired. No records that development has begun,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LNLCT6DHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P1B2PLDHIMH00&activeTab=summary|https://planning.bradford.,not permissioned,,HA/017,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403619.0,437366.7268,403659.4,437405.6,27700",2017-11-01
"Warehouse, Clevedon Street, Haworth",yes,,2018-11-01,,0.11,0,0,Conversion of the Drill Hall to form 4 x 2-bedroom dwellings and the construction of 3 x 3-bedroom dwellings with associated parking and means of access,local-authority-eng:BRD,not owned by a public authority,2015-10-21,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7402902OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9902447COU&activeTab=summary|https://planning.bradford.gov.uk,permissioned,full planning permission,HA/033,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403247.4,436831.9,403282.2,436895.6,27700",2017-11-01
"Braithwaite Road, Keighley",yes,,2018-11-01,,1.06,0,0,Site with detailed permission for 36 houses and apartments,local-authority-eng:BRD,owned by a public authority,2017-02-07,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P7QNE3DH0CY00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0101045REG&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,KY/011,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=404196.15,441527.9,404341.55,441628.2,27700",2017-11-01
"Whinfield Drive, Keighley",,,2018-11-01,,1.24,56,46,Cleared site but subject to permission could be developed at any time,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P7QNE3DH0CY00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0101045REG&activeTab=summary|https://planning.bradford.gov,not permissioned,,KY/012,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=404315.9,441565.65,404541.65,441670.0,27700",2017-11-01
"West Lane, Keighley",yes,,2018-11-01,,0.93,42,34,Cleared site with expired permission. The site will require new permission but is available for immediate development,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I57NU5DHJ6000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9900805COU&activeTab=summary|https://planning.bradford.gov,not permissioned,,KY/027,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405581.0,441109.6873,405706.9375,441204.6561,27700",2017-11-01
Mitchell Street/Chatsworth Street/Beeches Road,,,2018-11-01,,3.11,231,119,Landowner was progressing proposals but bo application yet submitted,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I0IW9WDHV2000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LCP141DH07C00&activeTab=summary|https://planning.bradford.,not permissioned,,KY/031,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406719.2876,441395.7,406955.27,441668.0,27700",2018-11-01
"Bradford Road, Keighley",,,2018-11-01,,1,89,46,Vacant Office block and car Park which has been vacant for a number of years. The site would be suitable for a number of uses including residential development subject to design. There has been recent interest in the site,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7703379FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LCP141DH07C00&activeTab=summary|https://planning.bradford.gov,not permissioned,,KY/032,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406609.35,441355.2,406733.6,441487.75,27700",2017-11-01
Carr Bank Riddlesden,yes,,2018-11-01,,0.52,19,14,The owner intends bringing the site forward for new development in the near future,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202119VOC&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9800409OUT&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,KY/047,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=408982.5,442077.4,409107.31,442184.23,27700",2017-11-01
Bradford Road Riddlesden,yes,,2018-11-01,,0.41,15,11,Former Church and grounds with expired permission for a care home. The site is available and could come forward for residential development subject to planning application. The site is for sale,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LUCLVTDHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LJBV8VDH0B200&activeTab=summary|https://planning.bradford.,not permissioned,,KY/049,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=409520.9,441114.0498,409607.0,441208.5998,27700",2017-11-01
"The Walk, Keighley",yes,,2018-11-01,,1.69,76,62,"Under used buildings and land, mainly used for employment purposes including haulage and storage. An outline application is currently pending consideration",local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MCHX0LDH04C00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8011400FUL&activeTab=summary|https://planning.bradford.gov,pending decision,,KY/064,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406186.1,440500.0,406374.65,440865.4,27700",2017-11-01
"Beck Street/Bridge Street, Keighley",,,2018-11-01,,0.57,51,26,Site with expired retail led permission which included some residential. The owners current intentions are not known but the site could come forward in the short term,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7702766FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8603197DUMMY&activeTab=summary|https://planning.bradford.gov.,not permissioned,,KY/083,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405938.0309,440883.4998,406043.8438,440964.0936,27700",2017-11-01
Woodhouse Road,yes,,2018-11-01,,0.14,0,0,Cleared site with permission for 10,local-authority-eng:BRD,not owned by a public authority,2017-12-29,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7808280FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LY9CO5DH0DK00&activeTab=summary|https://planning.bradford.gov,permissioned,outline planning permission,KY/090,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406174.3,439981.0,406223.65,440036.5,27700",2018-11-01
"Woodville Road, Spring Gardens Lane, Keighley",,,2018-11-01,,0.77,34,28,Residential nursing home with expired permission for change of use and extensions to provide 27 self contained retirement flats with shared facilities,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9105561REG&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KJJCQUDH06L00&activeTab=summary|https://planning.bradford.gov,not permissioned,,KY/095,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405688.5,441926.25,405817.8,442006.5,27700",2017-11-01
"Elmwood Terrace, Bracken Bank, Keighley",yes,,2018-11-01,,0.11,0,0,Cleared site with full permission for terrace of 6 3 bedroomed homes,local-authority-eng:BRD,not owned by a public authority,2017-04-01,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KYLPRWDHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NV2TDLDHLT000&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,KY/096,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=404803.2,439580.3,404850.35,439629.8,27700",2017-11-01
"James Street East, Keighley",,,2018-11-01,,0.22,11,9,Part of the site had permission in 2007 . Owners intentions are presently unknown,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J1VMDZDHJ2000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9701134FUL&activeTab=summary|https://planning.bradford.gov,not permissioned,,KY/099,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406344.35,440510.1911,406422.8902,440585.2498,27700",2017-11-01
"St Pauls Rise, Keighley",,,2018-11-01,,0.25,10,7,Permission has expired on the site. Owners intentions are not known but the site remains undeveloped,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7704677OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7707781FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,KY/102,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406496.6732,440710.1,406559.25,440797.0998,27700",2017-11-01
"West Lane, Keighley",,,2018-11-01,,0.42,19,15,Owner intentions are unknown at present and the site could be used for alternative development,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7905691FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JQH4PHDH8O000&activeTab=summary|https://planning.bradford.gov,not permissioned,,KY/119,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405510.9098,441121.6,405592.1368,441203.2573,27700",2017-11-01
Former Branshaw Special School - Nashville Street,yes,,2018-11-01,,0.51,23,19,Site has development potential for re use as residential. The landowners are taking steps to bring this site forward,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202186REG&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7505739FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,KY/125,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405357.896,440722.804,405431.978,440845.681,27700",2017-11-01
Former Site Of Ingrow Corn Former Site of Corn Mill Ingrow Lane Keighley,yes,,2018-11-01,,0.13,0,0,Site with permission for 6 houses and 3 flats,local-authority-eng:BRD,,2017-04-29,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0301608OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7603545REN&activeTab=summary|https://planning.bradford.gov.uk,permissioned,outline planning permission,KY/136,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405271.05,439774.6,405339.65,439837.1,27700",2018-11-01
Worthville Farm Keighley,,,2018-11-01,,0.22,0,0,"Site with expired permission, the owners immediate intentions are not known",local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8906796FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7803737FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,KY/138,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406337.2,440214.0,406372.2,440289.45,27700",2017-11-01
"Scrap Yard Castle Mills Becks Road, Keighley Keighley",yes,,2018-11-01,,1.35,0,0,Site with outline permission for 66 units and reserved matters approval for 37 of these units,local-authority-eng:BRD,not owned by a public authority,2017-10-20,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9206818FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7605830FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,reserved matters approval,KY/139,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405014.55,440844.75,405231.15,440939.35,27700",2017-11-01
East Parade Keighley,yes,,2018-11-01,,0.02,0,0,"Demolition of existing buildings and reconstruction to form 3 retail shops at ground floor level, with first floor and second floor extensions forming 5 self contained apartments",local-authority-eng:BRD,not owned by a public authority,2015-06-04,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8400728FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NMSFP5DHLT000&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,KY/153,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406404.39,441215.06,406426.95,441235.5,27700",2017-11-01
Victoria Hotel Cavendish Street Keighley,yes,,2018-11-01,,0.04,0,0,Conversion of existing public house/hotel into 4 retail units on the ground floor with associated external changes and the creation of 9 self-contained units,local-authority-eng:BRD,not owned by a public authority,2015-07-22,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NMSFP5DHLT000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9403664COU&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,KY/155,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406403.3,441231.6,406438.3,441253.5,27700",2017-11-01
